,influent ,rainfall,effluent ammonia,effluent nitrate,effluent nitrite,influent (1 hr lag),influent (2 hr lag),influent_flow (3hr lag),influent_flow (4hr lag),influent (5hr lag),influent (6hr lag),rainfall (1 hr lag),rainfall (2hr lag),rainfall (3hr lag),rainfall (4hr lag),rainfall (5hr lag),rainfall (6hr lag),effluent ammonia (1 hr lag),effluent ammonia (2 hr lag),effluent ammonia (3 hr lag),effluent ammonia (4 hr lag),effluent ammonia (5 hr lag),effluent ammonia (6 hr lag),effluent nitrate (1 hr lag),effluent nitrate (2 hr lag),effluent nitrate (3 hr lag),effluent nitrate (4 hr lag),effluent nitrate (5 hr lag),effluent nitrate (6 hr lag),effluent nitrite (1 hr lag),effluent nitrite (2 hr lag),effluent nitrite (3 hr lag),effluent nitrite (4 hr lag),effluent nitrite (5 hr lag),effluent nitrite (6 hr lag)
influent ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rainfall,0.163148615,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effluent ammonia,0.125619905,0.006356277,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effluent nitrate,0.238807053,0.025740153,0.394892421,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effluent nitrite,0.089670317,-0.00214195,0.253553227,0.434568141,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
influent (1 hr lag),0.940934545,0.134792408,0.131749794,0.248439476,0.092761872,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
influent (2 hr lag),0.842373993,0.116119426,0.139740008,0.260581058,0.09531921,0.941169939,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
influent_flow (3hr lag),0.741862578,0.104425416,0.149847607,0.274159399,0.097303317,0.842691588,0.941182011,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
influent_flow (4hr lag),0.644283262,0.094436662,0.162185806,0.289418993,0.099009553,0.742162872,0.842705999,0.94118241,1,,,,,,,,,,,,,,,,,,,,,,,,,,
influent (5hr lag),0.553342174,0.084676681,0.176267762,0.3048508,0.101882162,0.644522808,0.742169477,0.842704414,0.941182419,1,,,,,,,,,,,,,,,,,,,,,,,,,
influent (6hr lag),0.471343799,0.071820735,0.190651718,0.317270026,0.105481022,0.553550026,0.644530908,0.742170035,0.842705714,0.941182922,1,,,,,,,,,,,,,,,,,,,,,,,,
rainfall (1 hr lag),0.199691666,0.392590687,0.008696688,0.028723351,-0.002442318,0.163222205,0.134800075,0.116124064,0.104428985,0.094439438,0.084679483,1,,,,,,,,,,,,,,,,,,,,,,,
rainfall (2hr lag),0.247793171,0.217284542,0.011204394,0.034948189,-0.002359866,0.199475416,0.163185135,0.134811928,0.116144112,0.104439705,0.094448689,0.392619626,1,,,,,,,,,,,,,,,,,,,,,,
rainfall (3hr lag),0.268264994,0.141244141,0.013310089,0.042022395,0.001488463,0.248387494,0.204055877,0.167850127,0.138877257,0.119507958,0.107449595,0.223597063,0.40121618,1,,,,,,,,,,,,,,,,,,,,,
rainfall (4hr lag),0.264014828,0.131949041,0.015047689,0.047018675,0.009442701,0.267523678,0.251075288,0.206905843,0.170342164,0.140847519,0.121194098,0.143282081,0.224875901,0.377999752,1,,,,,,,,,,,,,,,,,,,,
rainfall (5hr lag),0.246216127,0.100148841,0.017686691,0.055545558,0.014717243,0.264142828,0.267532868,0.251077546,0.206907955,0.170344609,0.140850138,0.131949832,0.143304693,0.231594644,0.383484736,1,,,,,,,,,,,,,,,,,,,
rainfall (6hr lag),0.22609196,0.071744109,0.02195472,0.067995595,0.017152126,0.24633835,0.264152079,0.267534808,0.251079248,0.206910241,0.170347105,0.10014965,0.131971751,0.147685709,0.235029302,0.383484736,1,,,,,,,,,,,,,,,,,,
effluent ammonia (1 hr lag),0.121242749,0.003700576,0.990562,0.380023891,0.241621658,0.125674663,0.131758642,0.139746533,0.149852697,0.162189377,0.176271197,0.006357961,0.008698489,0.011518439,0.01349209,0.015049422,0.017688421,1,,,,,,,,,,,,,,,,,
effluent ammonia (2 hr lag),0.11802486,0.002254763,0.973688563,0.364553271,0.230103843,0.12129587,0.125683461,0.131765197,0.139751636,0.149856275,0.162192828,0.003702241,0.006359596,0.008940669,0.011675307,0.0134938,0.01505113,0.990562021,1,,,,,,,,,,,,,,,,
effluent ammonia (3 hr lag),0.115866051,-2.99E-05,0.954375667,0.348098902,0.21727785,0.118076622,0.121304512,0.125689947,0.131770248,0.139755181,0.149859705,0.002256395,0.003703679,0.006534687,0.009061386,0.011676984,0.013495475,0.97368862,0.990562041,1,,,,,,,,,,,,,,,
effluent ammonia (4 hr lag),0.113842785,-0.002492185,0.933327854,0.330910359,0.204788511,0.115916512,0.11808487,0.12131072,0.125694805,0.131773668,0.1397585,-2.84E-05,0.002257677,0.003802564,0.006621625,0.009062997,0.011678592,0.954375757,0.97368867,0.990562059,1,,,,,,,,,,,,,,
effluent ammonia (5 hr lag),0.112387108,-0.003690741,0.911734516,0.312152029,0.193033151,0.11389313,0.115925211,0.118091474,0.121315854,0.125698409,0.131777177,-0.002490552,-2.72E-05,0.00231516,0.003851288,0.006623301,0.00906467,0.933327998,0.954375854,0.973688726,0.990562076,1,,,,,,,,,,,,,
effluent ammonia (6 hr lag),0.111436883,0.002236379,0.890036058,0.292179701,0.180903066,0.112435598,0.113900818,0.115931011,0.118096051,0.121319092,0.125701569,-0.003689263,-0.002489654,-3.53E-05,0.002342878,0.003852808,0.006624819,0.911734672,0.933328113,0.954375931,0.97368877,0.990562084,1,,,,,,,,,,,,
effluent nitrate (1 hr lag),0.231760916,0.02389052,0.408850158,0.968204717,0.427942434,0.238976361,0.248465895,0.26059196,0.274165967,0.289424845,0.304856672,0.025742128,0.02875488,0.03653671,0.043020598,0.047018807,0.055545688,0.394895787,0.380027235,0.364556572,0.348102102,0.330913695,0.312155094,1,,,,,,,,,,,
effluent nitrate (2 hr lag),0.227012915,0.022271054,0.415611015,0.920298151,0.414457891,0.231927074,0.239002307,0.248476521,0.260598316,0.274171683,0.289430588,0.0238924,0.025773379,0.030165811,0.037457993,0.043020638,0.047018847,0.408853459,0.394899064,0.380030469,0.364559706,0.348105362,0.330916694,0.968204726,1,,,,,,,,,,
effluent nitrate (3 hr lag),0.223239837,0.020427388,0.419481914,0.870069414,0.397206782,0.227176179,0.231952135,0.239012311,0.248482449,0.260603759,0.274177172,0.022272783,0.023923387,0.027098712,0.030997723,0.037457885,0.043020531,0.415614234,0.408856646,0.394902207,0.380033516,0.364562864,0.348108276,0.920298129,0.968204711,1,,,,,,,,,
effluent nitrate (4 hr lag),0.220590821,0.017638897,0.420574973,0.819538361,0.383890283,0.223399831,0.227199791,0.231961049,0.239017496,0.248487427,0.260608804,0.020428888,0.022303442,0.025195472,0.027887441,0.030997384,0.037457551,0.419485004,0.415617293,0.40885966,0.394905132,0.380036531,0.36456566,0.870069262,0.920298015,0.968204658,1,,,,,,,,
effluent nitrate (5 hr lag),0.218724263,0.015031676,0.417460781,0.771785314,0.367588823,0.220749422,0.223423108,0.227208473,0.231966077,0.239022371,0.24849238,0.017640336,0.020459373,0.023529047,0.02595749,0.02788704,0.030996987,0.420578027,0.419488027,0.415620271,0.40886255,0.394908107,0.380039295,0.819538141,0.87006908,0.920297892,0.968204606,1,,,,,,,
effluent nitrate (6 hr lag),0.216837034,0.013060871,0.413139493,0.725840297,0.349345266,0.218874819,0.220767137,0.223427356,0.227210452,0.231968999,0.239025431,0.015032275,0.017669813,0.021631292,0.024266889,0.025956249,0.027885803,0.417463205,0.42058044,0.419490419,0.415622617,0.408864927,0.394910366,0.77178409,0.819537074,0.87006823,0.920297324,0.968204215,1,,,,,,
effluent nitrite (1 hr lag),0.086931405,-0.004190338,0.265695953,0.441458136,0.924396311,0.089733619,0.092771723,0.095323323,0.097305831,0.099011798,0.101884427,-0.002141206,-0.002431379,-0.002208918,0.001661882,0.009442754,0.014717296,0.253554394,0.241622826,0.230105005,0.217278987,0.204789697,0.193034255,0.43456822,0.427942526,0.414457991,0.397206864,0.383890347,0.367588613,1,,,,,
effluent nitrite (2 hr lag),0.083512217,-0.005880847,0.277679962,0.439999119,0.865827225,0.086993818,0.089743525,0.092775885,0.095325856,0.097308083,0.099014075,-0.004189593,-0.002130249,-0.002282481,-0.00208728,0.001661936,0.009442807,0.265697105,0.253555548,0.241623976,0.230106129,0.217280159,0.20479079,0.441458213,0.434568311,0.427942629,0.414458084,0.397206938,0.383890171,0.924396317,1,,,,
effluent nitrite (3 hr lag),0.07976535,-0.007872999,0.288879018,0.431558943,0.844647552,0.083572988,0.087003368,0.089747417,0.092778211,0.095327963,0.097310216,-0.005880161,-0.00417882,-0.001972782,-0.002161934,-0.002087287,0.001661929,0.277681033,0.265698179,0.253556619,0.241625025,0.230107221,0.217281181,0.439999081,0.441458193,0.434568313,0.42794264,0.414458083,0.397206741,0.865827228,0.924396319,1,,,
effluent nitrite (4 hr lag),0.076074383,-0.009417293,0.299858083,0.417833894,0.830915263,0.079824853,0.08358256,0.08700728,0.089749748,0.092780314,0.09533009,-0.007872317,-0.005869498,-0.004080069,-0.001847904,-0.002161947,-0.002087299,0.28888007,0.277682087,0.26569923,0.253557651,0.241626099,0.230108226,0.431558896,0.439999051,0.441458186,0.434568319,0.427942641,0.414457917,0.844647555,0.865827231,0.924396318,1,,
effluent nitrite (5 hr lag),0.072196689,-0.009235123,0.309108247,0.401412268,0.787046566,0.076132554,0.079834389,0.083586456,0.087009579,0.089751826,0.092782414,-0.009416626,-0.007861791,-0.005819215,-0.003984718,-0.001847932,-0.002161975,0.299859106,0.288881095,0.277683109,0.265700235,0.253558695,0.241627079,0.417833822,0.431558839,0.439999018,0.441458175,0.434568304,0.427942493,0.830915264,0.844647556,0.865827227,0.924396315,1,
effluent nitrite (6 hr lag),0.068492812,-0.008364636,0.309923024,0.379137793,0.746586006,0.072253335,0.076141955,0.079838194,0.083588671,0.087011592,0.089753863,-0.009234486,-0.009406224,-0.007868635,-0.005748249,-0.003984776,-0.001847991,0.309109226,0.299860086,0.288882073,0.277684072,0.265701234,0.253559637,0.401412142,0.417833709,0.431558751,0.439998959,0.441458121,0.434568145,0.787046561,0.830915259,0.844647547,0.865827219,0.92439631,1
