,RI,NH4R,NO3-R,TINR,NH4T,NO3T,TINT,NH4M,NO3M,TINM
RI,1.0,0.047619047619047616,0.08383383833392813,0.023809523809523808,-0.023809523809523808,-0.11904761904761904,-0.09523809523809523,0.16666666666666666,0.2619047619047619,0.2619047619047619
NH4R,0.047619047619047616,1.0,0.17964393928698885,0.9761904761904762,0.16666666666666666,0.11904761904761904,0.30952380952380953,-0.21428571428571427,-0.16666666666666666,-0.4523809523809524
NO3-R,0.08383383833392813,0.17964393928698885,1.0,0.14371515142959107,-0.2754540402400496,0.29940656547831473,0.1197626261913259,-0.5988131309566295,0.15569141404872366,-0.6347419188140273
TINR,0.023809523809523808,0.9761904761904762,0.14371515142959107,1.0,0.11904761904761904,0.19047619047619047,0.2857142857142857,-0.23809523809523808,-0.14285714285714285,-0.38095238095238093
NH4T,-0.023809523809523808,0.16666666666666666,-0.2754540402400496,0.11904761904761904,1.0,-0.047619047619047616,0.38095238095238093,0.7857142857142857,-0.14285714285714285,0.47619047619047616
NO3T,-0.11904761904761904,0.11904761904761904,0.29940656547831473,0.19047619047619047,-0.047619047619047616,1.0,0.7857142857142857,-0.047619047619047616,-0.7142857142857143,0.023809523809523808
TINT,-0.09523809523809523,0.30952380952380953,0.1197626261913259,0.2857142857142857,0.38095238095238093,0.7857142857142857,1.0,0.35714285714285715,-0.8809523809523809,0.14285714285714285
NH4M,0.16666666666666666,-0.21428571428571427,-0.5988131309566295,-0.23809523809523808,0.7857142857142857,-0.047619047619047616,0.35714285714285715,1.0,-0.2857142857142857,0.8571428571428571
NO3M,0.2619047619047619,-0.16666666666666666,0.15569141404872366,-0.14285714285714285,-0.14285714285714285,-0.7142857142857143,-0.8809523809523809,-0.2857142857142857,1.0,-0.11904761904761904
TINM,0.2619047619047619,-0.4523809523809524,-0.6347419188140273,-0.38095238095238093,0.47619047619047616,0.023809523809523808,0.14285714285714285,0.8571428571428571,-0.11904761904761904,1.0
