spearman's correlation,,,,,,,,,,,,,,,
,rainfall,influent_flow,ammonia_ppm,nitrate_ppm,nitrite_ppm,season_Fall,season_Spring,season_Summer,season_Winter,timeDay_Morning,timeDay_Afternoon,timeDay_Evening,timeDay_Night,,
rainfall,1,0.271516937,0.079554652,0.116300736,0.0358781,0.03944132,-0.007607399,-0.073140365,0.058082035,-0.032925548,0.007367796,0.016644267,0.012241652,,
influent_flow,0.271516937,1,0.133379562,0.272522784,0.109996798,0.019964239,-0.016220941,-0.168617398,0.214197449,-0.450341043,0.21814917,0.230665662,0.063928069,,
ammonia_ppm,0.079554652,0.133379562,1,0.284055314,0.397604344,-0.034848038,0.206273421,-0.371263408,0.256374927,0.042942785,-0.013361832,-0.023265559,-0.011501721,,
nitrate_ppm,0.116300736,0.272522784,0.284055314,1,0.250145061,0.148376061,-0.307520748,-0.056052375,0.289877236,0.05155997,-0.058922309,-0.022628674,0.018938497,,
nitrite_ppm,0.0358781,0.109996798,0.397604344,0.250145061,1,0.017259196,0.021271557,-0.172600608,0.174990032,0.014990523,0.055417869,0.017361603,-0.075926822,,
season_Fall,0.03944132,0.019964239,-0.034848038,0.148376061,0.017259196,1,-0.354475555,-0.369105153,-0.231943982,-2.50E-05,-2.00E-05,-1.74E-05,5.50E-05,,
season_Spring,-0.007607399,-0.016220941,0.206273421,-0.307520748,0.021271557,-0.354475555,1,-0.447406948,-0.28114847,-3.03E-05,-2.42E-05,-2.11E-05,6.67E-05,,
season_Summer,-0.073140365,-0.168617398,-0.371263408,-0.056052375,-0.172600608,-0.369105153,-0.447406948,1,-0.292751778,-3.15E-05,-2.52E-05,-2.20E-05,6.95E-05,,
season_Winter,0.058082035,0.214197449,0.256374927,0.289877236,0.174990032,-0.231943982,-0.28114847,-0.292751778,1,0.000107669,8.61E-05,7.50E-05,-0.000237304,,
timeDay_Morning,-0.032925548,-0.450341043,0.042942785,0.05155997,0.014990523,-2.50E-05,-3.03E-05,-3.15E-05,0.000107669,1,-0.329211171,-0.286998992,-0.453716673,,
timeDay_Afternoon,0.007367796,0.21814917,-0.013361832,-0.058922309,0.055417869,-2.00E-05,-2.42E-05,-2.52E-05,8.61E-05,-0.329211171,1,-0.229436068,-0.362715453,,
timeDay_Evening,0.016644267,0.230665662,-0.023265559,-0.022628674,0.017361603,-1.74E-05,-2.11E-05,-2.20E-05,7.50E-05,-0.286998992,-0.229436068,1,-0.316207283,,
timeDay_Night,0.012241652,0.063928069,-0.011501721,0.018938497,-0.075926822,5.50E-05,6.67E-05,6.95E-05,-0.000237304,-0.453716673,-0.362715453,-0.316207283,1,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
p-values,,,,,,,,,,,,,,,
,rainfall,influent_flow,ammonia_ppm,nitrate_ppm,nitrite_ppm,season_Fall,season_Spring,season_Summer,season_Winter,timeDay_Morning,timeDay_Afternoon,timeDay_Evening,timeDay_Night,,
rainfall,0,2.33E-233,5.90E-21,4.78E-43,2.33E-05,3.31E-06,0.369895008,6.01E-18,7.30E-12,0.000103656,0.385160187,0.049769878,0.14903903,,
influent_flow,2.33E-233,0,3.56E-56,3.82E-235,1.15E-38,0.018605187,0.055872275,3.85E-89,6.45E-144,0,2.48E-149,3.34E-167,4.60E-14,,
ammonia_ppm,5.90E-21,3.56E-56,0,3.75E-256,0,3.98E-05,2.20E-133,0,2.06E-207,4.11E-07,0.115260587,0.006095489,0.175190877,,
nitrate_ppm,4.78E-43,3.82E-235,3.75E-256,0,3.14E-197,3.15E-69,4.35E-302,3.79E-11,3.80E-267,1.19E-09,3.63E-12,0.00764172,0.025587638,,
nitrite_ppm,2.33E-05,1.15E-38,0,3.14E-197,0,0.041908094,0.012159319,2.25E-93,5.79E-96,0.077231738,6.28E-11,0.04070674,3.18E-19,,
season_Fall,3.31E-06,0.018605187,3.98E-05,3.15E-69,0.041908094,0,0,0,4.33E-169,0.997651431,0.998122479,0.998363218,0.994823739,,
season_Spring,0.369895008,0.055872275,2.20E-133,4.35E-302,0.012159319,0,0,0,9.23E-251,0.997153209,0.997724183,0.998015993,0.993725671,,
season_Summer,6.01E-18,3.85E-89,0,3.79E-11,2.25E-93,0,0,0,1.13E-272,0.997035719,0.997630258,0.997934111,0.993466728,,
season_Winter,7.30E-12,6.45E-144,2.06E-207,3.80E-267,5.79E-96,4.33E-169,9.23E-251,1.13E-272,0,0.989874671,0.991905413,0.99294329,0.977685896,,
timeDay_Morning,0.000103656,0,4.11E-07,1.19E-09,0.077231738,0.997651431,0.997153209,0.997035719,0.989874671,0,0,1.12E-261,0,,
timeDay_Afternoon,0.385160187,2.48E-149,0.115260587,3.63E-12,6.28E-11,0.998122479,0.997724183,0.997630258,0.991905413,0,0,2.13E-165,0,,
timeDay_Evening,0.049769878,3.34E-167,0.006095489,0.00764172,0.04070674,0.998363218,0.998015993,0.997934111,0.99294329,1.12E-261,2.13E-165,0,0,,
timeDay_Night,0.14903903,4.60E-14,0.175190877,0.025587638,3.18E-19,0.994823739,0.993725671,0.993466728,0.977685896,0,0,0,0,,
